OA,Super Group,Super Group Name,Group,Group Name,Sub Group,Local Authority
E00000075,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000076,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000077,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000078,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000079,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000080,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Barking and Dagenham
E00000081,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000082,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000083,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000084,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000085,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000086,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000087,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000088,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000089,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000090,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000091,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Barking and Dagenham
E00000092,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000093,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000094,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000095,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000096,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000097,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000098,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000099,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Barking and Dagenham
E00000100,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000101,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000102,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000103,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000104,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000106,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000107,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000108,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000109,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000110,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000111,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000112,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000113,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000114,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000115,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000116,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000117,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000118,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000119,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000120,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000121,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000122,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000123,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000124,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000125,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000126,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000127,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000128,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000129,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000130,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000131,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000132,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000133,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000134,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000135,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000136,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000137,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000138,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000139,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000140,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000141,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000142,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000143,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000144,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000145,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Barking and Dagenham
E00000146,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000147,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Barking and Dagenham
E00000148,H,Ageing City Fringe,H2,Not quite Home Counties,H2b,Barking and Dagenham
E00000149,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000150,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000151,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000152,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000153,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000154,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000155,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000156,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Barking and Dagenham
E00000157,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000158,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000159,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000160,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000161,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000162,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000163,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000164,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000165,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000166,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000167,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000168,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000169,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Barking and Dagenham
E00000170,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000171,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000172,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000173,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000174,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000175,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000176,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000177,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000178,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000179,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000180,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000181,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000182,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000183,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000184,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Barking and Dagenham
E00000185,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Barking and Dagenham
E00000186,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Barking and Dagenham
E00000187,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000188,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000189,H,Ageing City Fringe,H2,Not quite Home Counties,H2a,Barking and Dagenham
E00000190,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Barking and Dagenham
E00000191,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000192,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000193,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000194,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000195,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000196,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000197,A,Intermediate Lifestyles,A2,Suburban localities,A2b,Barking and Dagenham
E00000198,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000199,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000200,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000201,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000202,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000203,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000204,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000205,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Barking and Dagenham
E00000206,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000207,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000208,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000209,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000210,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000211,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000212,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000213,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000214,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000215,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000216,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000217,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000218,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000219,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000220,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000221,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000222,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000223,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000224,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000225,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000226,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000227,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000228,C,Settled Asians,C1,Asian owner occupiers,C1a,Barking and Dagenham
E00000229,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000230,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000231,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000232,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000234,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000235,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000236,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000237,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000238,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000239,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000240,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000241,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000242,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000243,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000244,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000245,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000246,C,Settled Asians,C3,East End Asians,C3a,Barking and Dagenham
E00000247,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000248,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000249,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000250,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000251,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000252,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000253,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1b,Barking and Dagenham
E00000254,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000255,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000256,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000257,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000258,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000259,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000260,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000261,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000263,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000264,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000265,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000266,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000267,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000268,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000269,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000270,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000271,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000272,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000273,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000274,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000275,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000276,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000277,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000278,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000279,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Barking and Dagenham
E00000280,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000282,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000283,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000284,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000285,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000286,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000287,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2b,Barking and Dagenham
E00000288,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000289,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000290,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000291,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000292,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000293,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000294,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000295,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000296,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000297,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000298,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000299,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000300,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000301,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000302,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000303,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000304,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000305,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000306,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000307,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000308,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000309,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000310,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000311,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000312,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000313,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000314,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000315,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000316,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000317,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000318,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000319,A,Intermediate Lifestyles,A2,Suburban localities,A2c,Barking and Dagenham
E00000320,A,Intermediate Lifestyles,A1,Struggling suburbs,A1a,Barking and Dagenham
E00000321,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000322,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000323,A,Intermediate Lifestyles,A2,Suburban localities,A2a,Barking and Dagenham
E00000324,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000325,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000326,A,Intermediate Lifestyles,A1,Struggling suburbs,A1b,Barking and Dagenham
E00000327,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000328,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000329,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000330,B,High Density & High Rise Flats,B1,Disadvantaged diaspora,B1a,Barking and Dagenham
E00000331,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000332,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000333,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000334,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000335,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000336,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000337,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000338,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000339,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000340,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000341,C,Settled Asians,C3,East End Asians,C3d,Barking and Dagenham
E00000342,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000343,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000344,C,Settled Asians,C3,East End Asians,C3e,Barking and Dagenham
E00000345,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000346,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000347,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000348,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000349,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000350,C,Settled Asians,C3,East End Asians,C3e,Barking and Dagenham
E00000351,C,Settled Asians,C1,Asian owner occupiers,C1b,Barking and Dagenham
E00000352,G,Multi-ethnic Suburbs,G1,Affordable transitions,G1a,Barking and Dagenham
E00000353,C,Settled Asians,C3,East End Asians,C3c,Barking and Dagenham
E00000354,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
E00000355,G,Multi-ethnic Suburbs,G2,Public sector & service employees,G2a,Barking and Dagenham
